Doctor Name,Specialist,Phone Number,Email,Clinic Address
Dr. Nisha Bhatt,Thyroid,+91-8341377401,dr..nisha.bhatt@clinicindia.com,"PXL Hospital, Mumbai"
Dr. Raj Malhotra,Thyroid,+91-7129000521,dr..raj.malhotra@clinicindia.com,"ZXD Hospital, Ahmedabad"
Dr. Reema Saxena,Thyroid,+91-8261885129,dr..reema.saxena@clinicindia.com,"OIH Hospital, Hyderabad"
Dr. Richa Sharma,PCOD,+91-7494609112,dr..richa.sharma@clinicindia.com,"WZA Hospital, Hyderabad"
Dr. Neelam Joshi,PCOD,+91-8160672786,dr..neelam.joshi@clinicindia.com,"CTC Hospital, Mumbai"
Dr. Vandana Tiwari,PCOD,+91-7601641317,dr..vandana.tiwari@clinicindia.com,"SFO Hospital, Chennai"
Dr. Deepa Singh,PCOD,+91-7206874364,dr..deepa.singh@clinicindia.com,"SRH Hospital, Hyderabad"
Dr. Anupama Rao,PCOD,+91-9744520704,dr..anupama.rao@clinicindia.com,"VVQ Hospital, Mumbai"
Dr. Sanya Kapoor,PCOD,+91-7765502188,dr..sanya.kapoor@clinicindia.com,"MYQ Hospital, Pune"
Dr. Mohini Iyer,PCOD,+91-9504913061,dr..mohini.iyer@clinicindia.com,"PLG Hospital, Pune"
Dr. Radha Krishnan,PCOD,+91-7440148429,dr..radha.krishnan@clinicindia.com,"RNR Hospital, Delhi"
Dr. Savita Bansal,PCOD,+91-7041133410,dr..savita.bansal@clinicindia.com,"CQA Hospital, Delhi"
Dr. Aruna Mehta,PCOD,+91-9784343499,dr..aruna.mehta@clinicindia.com,"VEP Hospital, Hyderabad"
Dr. Smita Patil,PCOD,+91-9383644613,dr..smita.patil@clinicindia.com,"NEU Hospital, Bengaluru"
Dr. Jyoti Desai,PCOD,+91-8863807693,dr..jyoti.desai@clinicindia.com,"SEV Hospital, Bengaluru"
Dr. Kirti Shah,PCOD,+91-7980255783,dr..kirti.shah@clinicindia.com,"TVJ Hospital, Kolkata"
Dr. Meera Reddy,PCOD,+91-9075898580,dr..meera.reddy@clinicindia.com,"JDD Hospital, Chennai"
Dr. Payal Sinha,PCOD,+91-7568329427,dr..payal.sinha@clinicindia.com,"YDZ Hospital, Mumbai"
Dr. Alok Jain,Anxiety,+91-8553675285,dr..alok.jain@clinicindia.com,"NSG Hospital, Chennai"
Dr. Shweta Verma,Anxiety,+91-8507555090,dr..shweta.verma@clinicindia.com,"WUP Hospital, Mumbai"
Dr. Harish Nair,Anxiety,+91-9911600257,dr..harish.nair@clinicindia.com,"BTM Hospital, Mumbai"
Dr. Nandini Sharma,Anxiety,+91-8572758400,dr..nandini.sharma@clinicindia.com,"WGD Hospital, Ahmedabad"
Dr. Suresh Iyer,Anxiety,+91-7484353234,dr..suresh.iyer@clinicindia.com,"YXQ Hospital, Mumbai"
Dr. Ritu Deshmukh,Anxiety,+91-8636078565,dr..ritu.deshmukh@clinicindia.com,"MDC Hospital, Ahmedabad"
Dr. Jay Patel,Anxiety,+91-8568773222,dr..jay.patel@clinicindia.com,"JYX Hospital, Kolkata"
Dr. Laxmi Kapoor,Anxiety,+91-8099877219,dr..laxmi.kapoor@clinicindia.com,"EHD Hospital, Hyderabad"
Dr. Manoj Singh,Anxiety,+91-8043308742,dr..manoj.singh@clinicindia.com,"RJV Hospital, Mumbai"
Dr. Seema Rao,Anxiety,+91-7399726830,dr..seema.rao@clinicindia.com,"QAV Hospital, Chennai"
Dr. Divya Narayan,Anxiety,+91-8152837712,dr..divya.narayan@clinicindia.com,"VUO Hospital, Hyderabad"
Dr. Tanuj Shah,Anxiety,+91-9947188880,dr..tanuj.shah@clinicindia.com,"EBX Hospital, Kolkata"
Dr. Reeta Nair,Anxiety,+91-7388623731,dr..reeta.nair@clinicindia.com,"TEP Hospital, Pune"
Dr. Arvind Kumar,Anxiety,+91-7225763069,dr..arvind.kumar@clinicindia.com,"YEU Hospital, Bengaluru"
Dr. Neerja Bhatia,Anxiety,+91-9171056979,dr..neerja.bhatia@clinicindia.com,"LKN Hospital, Chennai"
